0 1 {}
0 2 {}
0 4 {}
0 5 {}
0 7 {}
0 9 {}
0 12 {}
0 14 {}
0 18 {}
1 0 {}
1 5 {}
1 11 {}
1 12 {}
2 1 {}
2 4 {}
2 9 {}
2 10 {}
2 11 {}
2 12 {}
2 18 {}
2 19 {}
3 1 {}
3 8 {}
3 11 {}
3 12 {}
3 15 {}
3 19 {}
4 1 {}
4 6 {}
4 15 {}
4 19 {}
5 1 {}
5 3 {}
5 4 {}
5 7 {}
5 8 {}
5 10 {}
5 15 {}
6 0 {}
6 5 {}
6 12 {}
6 13 {}
6 14 {}
6 16 {}
7 11 {}
7 14 {}
7 15 {}
7 17 {}
7 19 {}
8 0 {}
8 2 {}
8 4 {}
8 6 {}
8 11 {}
8 12 {}
9 0 {}
9 1 {}
9 2 {}
9 3 {}
9 6 {}
9 15 {}
9 17 {}
10 0 {}
10 4 {}
10 9 {}
10 13 {}
10 15 {}
10 18 {}
10 19 {}
11 0 {}
11 2 {}
11 3 {}
11 9 {}
11 12 {}
11 13 {}
11 14 {}
11 18 {}
12 2 {}
12 4 {}
12 5 {}
12 6 {}
12 8 {}
12 9 {}
12 10 {}
12 14 {}
13 0 {}
13 1 {}
13 5 {}
13 9 {}
13 11 {}
13 14 {}
13 17 {}
14 3 {}
14 4 {}
14 5 {}
14 7 {}
14 9 {}
14 10 {}
14 16 {}
14 19 {}
15 2 {}
15 3 {}
15 4 {}
15 5 {}
15 7 {}
15 8 {}
15 9 {}
15 11 {}
15 14 {}
15 16 {}
15 18 {}
16 0 {}
16 1 {}
16 7 {}
16 12 {}
16 13 {}
16 14 {}
16 17 {}
16 19 {}
17 12 {}
17 14 {}
17 15 {}
18 1 {}
18 4 {}
18 11 {}
18 14 {}
18 15 {}
18 16 {}
19 0 {}
19 2 {}
19 6 {}
19 10 {}
19 11 {}
19 12 {}
19 14 {}
19 15 {}
19 16 {}
19 18 {}
